parent_uri,parent_label,child_uri,child_label,child_def
http://www.gamaizer.ai/cmo/skill/04a13491-b58c-4d33-8b59-8fad0d55fe9e,aptitudes et compétences transversales,http://www.gamaizer.ai/cmo/skill/021a23e1-907e-4627-b05a-555f889cbb65,aptitudes et compétences liées à la gestion de soi,"Skills and competences requiring individuals to understand and control their own capabilities and limitations and use this self-awareness to manage activities in a variety of contexts. They include the ability to act reflectively and responsibly, to accept feedback, adapting to change and to seek opportunities for personal and professional development."
http://www.gamaizer.ai/cmo/skill/04a13491-b58c-4d33-8b59-8fad0d55fe9e,aptitudes et compétences transversales,http://www.gamaizer.ai/cmo/skill/12022223-8c30-418a-8f83-658396c9fec2,aptitudes et compétences physiques et manuelles,"Skills and competences relating to the ability to perform tasks and activities requiring manual dexterity, agility and/or bodily strength. This is demonstrated by carrying out tasks and activities in demanding or hazardous environments requiring endurance or stamina. These tasks and activities may be carried out by hand, with other direct physical intervention, or by using equipment, tools or technology (such as ICT devices, machinery, craft or musical instruments) which requires guidance, movement or force."
http://www.gamaizer.ai/cmo/skill/04a13491-b58c-4d33-8b59-8fad0d55fe9e,aptitudes et compétences transversales,http://www.gamaizer.ai/cmo/skill/4ef78abc-e983-4cc7-84a1-52532a0159dc,aptitudes et compétences de la vie courante,"Skills and competences relating to the ability to process and use knowledge and information which has transversal significance and facilitates active citizenship. They comprise the areas of health, environment, civic engagement, culture, finance and the application of general knowledge."
http://www.gamaizer.ai/cmo/skill/04a13491-b58c-4d33-8b59-8fad0d55fe9e,aptitudes et compétences transversales,http://www.gamaizer.ai/cmo/skill/552c4f35-a2d1-49c2-8fda-afe26695c44a,aptitudes et compétences sociales et de communication,"Skills and competences relating to the ability to interact positively and productively with others. This is demonstrated by communicating ideas effectively and empathetically, coordinating one’s own objectives and actions with those of others and acting in ways which are structured according to values, ensuring the well-being and progress of others, and offering leadership."
http://www.gamaizer.ai/cmo/skill/04a13491-b58c-4d33-8b59-8fad0d55fe9e,aptitudes et compétences transversales,http://www.gamaizer.ai/cmo/skill/8267ecb5-c976-4b6a-809b-4ceecb954967,capacités et compétences de réflexion,"Skills and competences relating to the ability to apply the mental processes of gathering, conceptualizing, analysing, synthesizing, and/or evaluating information gathered from, or generated by, observation, experience, reflection, reasoning, or communication. They include the ability to evaluate and use information of different kinds to plan activities, achieve goals, solve problems, deal with issues and perform complex tasks in routine and novel ways."
http://www.gamaizer.ai/cmo/skill/04a13491-b58c-4d33-8b59-8fad0d55fe9e,aptitudes et compétences transversales,http://www.gamaizer.ai/cmo/skill/b94686e3-cce5-47a2-a8d8-402a0d0ed44e,aptitudes et compétences de base,"Skills and competences representing the foundation for interacting with others and for developing and learning as an individual. They comprise the ability to understand, speak, read and write language(s), to work with numbers and measures and to use digital devices and applications."
http://www.gamaizer.ai/cmo/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,aptitudes,http://www.gamaizer.ai/cmo/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,manipuler et déplacer,"Sorting, arranging, moving, transforming, fabricating and cleaning goods and materials by hand or using handheld tools and equipment. Tending plants, crops and animals.
Excludes:
- Specific skills involving interaction with people"
http://www.gamaizer.ai/cmo/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,aptitudes,http://www.gamaizer.ai/cmo/skill/0a2d70ee-d435-4965-9e96-702b2fb65740,compétences en matière d’information,"Collecting, storing, monitoring, and using information; Conducting studies, investigations and tests; maintaining records; managing, evaluating, processing, analysing and monitoring information and projecting outcomes."
http://www.gamaizer.ai/cmo/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,aptitudes,http://www.gamaizer.ai/cmo/skill/243eb885-07c7-4b77-ab9c-827551d83dc4,travailler avec des ordinateurs,"Using computers and other digital tools to develop, install and maintain ICT software and infrastructure and to browse, search, filter, organise, store, retrieve, and analyse data, to collaborate and communicate with others, to create and edit new content.
Excludes:
- Systems analysis
- Installing, maintaining and repairing computer hardware"
http://www.gamaizer.ai/cmo/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,aptitudes,http://www.gamaizer.ai/cmo/skill/2ae39fc8-0f1b-4284-9e73-3f2739471f63,construire,"Building, repairing, installing and finishing interior and exterior structures."
